"ROI_left","ROI_right","Q.Mode","Signal,Position..ppm.","Width","Q.Signal","Multiplicity","J.coupling..Hz.","Roof.effect","Shift.tolerance","Intensity","p_value","NA"
6.838,6.93,"Baseline Fitting","33_1",6.874,1,1,1,0,0,0.001,0,0.858
6.838,6.93,"Baseline Fitting","8_2",6.898,1,1,1,0,0,0.001,0,0.107
6.838,6.93,"Baseline Fitting","8_1",6.91,1,1,1,0,0,0.001,0,0.433
7.146,7.242,"Baseline Fitting","32_1",7.166,1,1,1,0,0,0.001,0,0.136
7.146,7.242,"Baseline Fitting","22_5",7.205,1,1,1,0,0,0.001,0,0.054
7.146,7.242,"Baseline Fitting","22_4",7.218,1,1,1,0,0,0.001,0,0.018
7.146,7.242,"Baseline Fitting","22_3",7.222,1,1,1,0,0,0.001,0,0.175
7.258,7.397,"Baseline Fitting","22_2",7.278,1,1,1,0,0,0.001,0,0.004
7.258,7.397,"Baseline Fitting","22_1",7.29,1,1,1,0,0,0.001,0,0.004
7.258,7.397,"Baseline Fitting","7_2",7.328,1,1,1,0,0,0.001,0,0.125
7.258,7.397,"Baseline Fitting","7_1",7.34,1,1,1,0,0,0.001,0,0.031
7.258,7.397,"Baseline Fitting","21_6",7.354,1,1,1,0,0,0.001,0,0.001
7.258,7.397,"Baseline Fitting","21_5",7.366,1,1,1,0,0,0.001,0,0
7.258,7.397,"Baseline Fitting","21_4",7.377,1,1,1,0,0,0.001,0,0.056
7.398,7.459,"Baseline Fitting","21_3",7.418,1,1,1,0,0,0.001,0,0.014
7.398,7.459,"Baseline Fitting","21_2",7.428,1,1,1,0,0,0.001,0,0.004
7.398,7.459,"Baseline Fitting","21_1",7.439,1,1,1,0,0,0.001,0,0
7.482,7.587,"Baseline Fitting","6_2",7.502,1,1,1,0,0,0.001,0,0
7.482,7.587,"Baseline Fitting","6_1",7.514,1,1,1,0,0,0.001,0,0.001
7.482,7.587,"Baseline Fitting","4_8",7.545,1,1,1,0,0,0.001,0,0.004
7.482,7.587,"Baseline Fitting","4_7",7.556,1,1,1,0,0,0.001,0,0.002
7.482,7.587,"Baseline Fitting","4_6",7.567,1,1,1,0,0,0.001,0,0.002
7.612,7.792,"Baseline Fitting","4_5",7.632,1,1,1,0,0,0.001,0,0.002
7.612,7.792,"Baseline Fitting","4_4",7.642,1,1,1,0,0,0.001,0,0.001
7.612,7.792,"Baseline Fitting","4_3",7.653,1,1,1,0,0,0.001,0,0.002
7.612,7.792,"Baseline Fitting","31_1",7.678,1,1,1,0,0,0.001,0,0.532
7.612,7.792,"Baseline Fitting","30_1",7.704,1,1,1,0,0,0.001,0,0.269
7.612,7.792,"Baseline Fitting","29_1",7.715,1,1,1,0,0,0.001,0,0.44
7.612,7.792,"Baseline Fitting","28_1",7.743,1,1,1,0,0,0.001,0,0.894
7.612,7.792,"Baseline Fitting","5_2",7.76,1,1,1,0,0,0.001,0,0.19
7.612,7.792,"Baseline Fitting","5_1",7.772,1,1,1,0,0,0.001,0,0.203
7.814,7.864,"Baseline Fitting","4_2",7.834,1,1,1,0,0,0.001,0,0.002
7.814,7.864,"Baseline Fitting","4_1",7.844,1,1,1,0,0,0.001,0,0.002
8.068,8.108,"Baseline Fitting","27_1",8.088,1,1,1,0,0,0.001,0,0.493
8.174,8.236,"Baseline Fitting","3_2",8.194,1,1,1,0,0,0.001,0,0.498
8.174,8.236,"Baseline Fitting","3_1",8.216,1,1,1,0,0,0.001,0,0.925
8.314,8.354,"Baseline Fitting","2_1",8.334,1,1,1,0,0,0.001,0,0
8.442,8.482,"Baseline Fitting","26_1",8.462,1,1,1,0,0,0.001,0,0.442
8.81,8.874,"Baseline Fitting","1_4",8.83,1,1,1,0,0,0.001,0,0.001
8.81,8.874,"Baseline Fitting","1_3",8.84,1,1,1,0,0,0.001,0,0
8.81,8.874,"Baseline Fitting","1_2",8.854,1,1,1,0,0,0.001,0,0
9.107,9.147,"Baseline Fitting","1_1",9.127,1,1,1,0,0,0.001,0,0
